"NUMERO","ZONA_NUMERO","NOME","SECOES_PREVISTAS","LATITUDE","LONGITUDE"
1112,20,"SESI - CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO",16,-8.7691229,-63.8711164
1198,20,"HENRIQUE DIAS - ESCOLA MUNICIPAL - DIST SÃO CARLOS",8,-8.4375662,-63.4994858
1180,20,"GENERAL OSORIO - ESCOLA MUNICIPAL",10,-8.0240454,-62.8733005
1120,20,"ESCOLA PADRÃO - ENGENHEIRO FRANCISCO ERSE - ESCOLA MUNICIPAL",15,-8.7578843,-63.8553637
1341,20,"HÉLIO NEVES BOTELHO - ESCOLA ESTADUAL",11,-8.7974535,-63.884943
1511,20,"CHAPEUZINHO VERMELHO",6,-8.7462455,-63.8363379
1147,20,"JUSCELINO KUBTSCHECK - ESCOLA ESTADUAL",20,-8.7627611,-63.8642243
1406,20,"RIO GUAPORE - ESCOLA MUNICIPAL",8,-8.8014822,-63.869637
1104,20,"PROFESSOR ORLANDO FREIRE - ESCOLA ESTADUAL",23,-8.768884,-63.8698423
1210,20,"MARIA ANGELICA QUEIROZ  - ESCOLA MUNICIPAL - DIST NOVA ALIANÇA",3,-8.6097235,-63.5423095
1457,20,"JORGE VICENTE SALAZAR DOS SANTOS - ESCOLA ESTADUAL",13,-8.7930118,-63.8748689
1368,20,"JOAQUIM VICENTE RONDON - ESCOLA MUNICIPAL",23,-8.7912291,-63.8810349
1465,20,"JESUS BURLAMAQUI HOSANNAH - ESCOLA ESTADUAL",20,-8.7764486,-63.8811554
1040,20,"ESCOLA MILITAR DOM PEDRO II",14,-8.7684305,-63.8782935
1279,20,"FRANCISCO BRAGA - ESCOLA MUNICIPAL",2,-8.3178564,-63.4976199
1384,20,"ESCOLA HEITOR VILLA LOBOS",10,-8.7953867,-63.8661699
1430,20,"MANOEL GRANGEIRO - ESCOLA MUNICIPAL",3,-8.8496401,-63.8321891
1392,20,"CANTO DO UIRAPURU - ESCOLA MUNICIPAL",6,-8.8037675,-63.8611508
1333,20,"DOM PEDRO I - ESCOLA ESTADUAL",10,-8.8039301,-63.8665963
1490,20,"PENITENCIÁRIA ESTADUAL SUELY MARIA MENDONÇA - SEJUS - PESMM",1,-8.7532897,-63.8368426
1252,20,"DEIGMAR MORAES DE SOUZA - ESCOLA MUNICIPAL",2,-8.5857853,-63.7299187
1414,20,"JOÃO BENTO DA COSTA - ESCOLA ESTADUAL",26,-8.7838365,-63.8741293
1449,20,"MARIA DE NAZARÉ - CENTRO EDUCACIONAL CENTRO EDUCACIONAL",16,-8.7876568,-63.868417
1309,20,"ASSOCIAÇÃO DE MORADORES E PRODUTORES TERRA SANTA - AMOPTS",2,-8.6924707,-63.841561
1422,20,"ESTRELA DO AMANHA - ESCOLA MUNICIPAL",5,-8.8052385,-63.8786122
1260,20,"JOAO DE BARROS GOUVEIA - ESCOLA ESTADUAL - DIST DEMARCAÇÃO",3,-8.1710853,-62.7793032
1058,20,"GOVERNADOR ARAÚJO LIMA - ESCOLA ESTADUAL",16,-8.7589844,-63.8772582
1244,20,"ESCOLA MUNICIPAL MANOEL MACIEL NUNES",2,-8.1624835,-63.3202627
1350,20,"TANCREDO NEVES - ESCOLA ESTADUAL",17,-8.8049538,-63.87786
1236,20,"UNIÃO - ESCOLA MUNICIPAL",1,-8.6456306,-63.7364507
1473,20,"CENTRO DE DETENÇAO PROVISÓRIA - CDPPVH - URSO BRANCO",2,-8.7050704,-63.8380287
1155,20,"UNIDADE DE INTERNAÇÃO MASCULINA PROVISÓRIA",1,-8.7687158,-63.8692433
1481,20,"UNIDADE DE INTERNAÇÃO SENTENCIADA MASCULINA",1,-8.754722,-63.8406731
1074,20,"HERBERT DE ALENCAR - ESCOLA ESTADUAL",7,-8.7640414,-63.8778165
1201,20,"AQUILES CHAVES PARAGUASSU - ESCOLA MUNICIPAL - DIST PAPAGAIOS",1,-8.1801129,-63.0904138
1325,20,"ANA ADELAIDE - ESCOLA MUNICIPAL",4,-8.034741,-62.8773568
1066,20,"COLEGIO ADVENTISTA - PRIVADO",15,-8.7577472,-63.8749524
1376,20,"TUCUMÃ - ESCOLA MUNICIPAL",5,-8.788982,-63.8727702
1295,20,"CASTRO ALVES - ESCOLA MUNICIPAL",2,-8.2350884,-63.2538092
1082,20,"MARIA CARMOSINA PINHEIRO - ESCOLA ESTADUAL",18,-8.7576425,-63.8408118
1228,20,"RAIMUNDO NONATO VIEIRA DA SILVA- ESCOLA ESTADUAL - CUJUBIM-GRANDE",1,-8.5848202,-63.7294305
